frequency,tdbs_amp_mPFC_pre_limbic_1,tdbs_amp_mPFC_pre_limbic_2,tdbs_amp_mPFC_infra_limbic_1,tdbs_amp_mPFC_infra_limbic_2,tdbs_amp_Hippocampus_CA1,tdbs_amp_Hippocampus_MOL_layer,tdbs_amp_Hippocampus_GD_1,tdbs_amp_Hippocampus_GD_2,tdbs_amp_Amygdala_lateral_1,tdbs_amp_Amygdala_lateral_2,tdbs_amp_Amygdala_basolateral_1,tdbs_amp_Amygdala_basolateral_2,tdbs_amp_Inferior_colliculus_1,tdbs_amp_Inferior_colliculus_2,tdbs_amp_Inferior_colliculus_3,tdbs_amp_Inferior_colliculus_4,tdbs_phase_mPFC_pre_limbic_1,tdbs_phase_mPFC_pre_limbic_2,tdbs_phase_mPFC_infra_limbic_1,tdbs_phase_mPFC_infra_limbic_2,tdbs_phase_Hippocampus_CA1,tdbs_phase_Hippocampus_MOL_layer,tdbs_phase_Hippocampus_GD_1,tdbs_phase_Hippocampus_GD_2,tdbs_phase_Amygdala_lateral_1,tdbs_phase_Amygdala_lateral_2,tdbs_phase_Amygdala_basolateral_1,tdbs_phase_Amygdala_basolateral_2,tdbs_phase_Inferior_colliculus_1,tdbs_phase_Inferior_colliculus_2,tdbs_phase_Inferior_colliculus_3,tdbs_phase_Inferior_colliculus_4
52.19999999999996,3.0884774078919666,24.688249710444868,21.42191426870917,20.588059923459934,217.81743126055795,11.549357715934326,53.235776632630504,4467.882945267059,3.8425479162449587,0.0838979942003647,4.8854528231766485,2.0256680069025768,1.9779089778211427,2.557914863928767,0.7786623252266445,0.809275272942326,4.59,4.21,3.6,3.13,3.5700000000000003,3.22,1.48,3.33,0.31,3.69,4.37,3.75,5.13,4.51,4.05,4.7
52.20999999999996,4.0963071953388015,18.28133444847332,13.603246349778422,7.449991235419851,141.71539722851327,32.55817103249951,39.791196520143615,1143.1535853458458,26.281666764589076,18.14510987997506,18.91693157407886,10.425425642839285,2.8232922838408356,2.1116175984577996,0.9893896931512602,0.8760685846304922,3.3000000000000003,3.29,2.5100000000000002,1.5,1.7,1.58,5.3,1.54,4.96,5.12,3.95,5.07,4.61,3.31,2.46,2.81
52.219999999999956,1.864752696341686,10.533492648551448,3.613114710971155,5.714820947447672,52.846721146692595,71.56915498063731,82.81083443258271,486.9511980540958,75.17139853900943,69.59402940669187,61.914751191435336,50.575482150879154,7.97199636180054,4.893750495780683,2.732049409649301,7.586997328246765,1.22,2.67,1.68,4.18,6.15,0.21,2.41,4.65,3.63,3.7800000000000002,3.31,3.83,3.8000000000000003,2.58,0.71,1.3
52.229999999999954,3.336081632319385,7.038606350472567,2.661108799328965,6.375165737716391,55.313283294465045,79.98539411242308,126.95259044209095,2636.2092278628293,88.88157032326826,86.24451351717525,90.11234697329633,67.98540407100916,11.445108733392178,8.01530811282649,0.7022904084346924,9.245411139665848,4.89,2.69,3.41,2.91,4.39,5.07,0.54,2.05,2.32,2.43,2.23,2.49,2.6,1.99,0.48,0.07
52.23999999999995,8.723538235796028,11.148950854190273,4.824089546965304,3.2985061952426333,50.754219128949714,39.146792175703304,74.39812589084536,2231.5489757581813,41.80716379475111,36.82890898500072,44.92332526077486,30.63032706568472,7.947471645938663,7.008639970876173,5.1122407897967,6.91057988707958,3.48,2.58,2.77,2.47,2.7,3.59,5.74,0.52,1.1,1.18,1.09,1.23,1.23,0.74,0.08,5.99
52.24999999999995,26.729350433817597,18.59023506871651,6.354274377244828,2.0930417809372353,78.74986372614218,5.129121685690904,38.71113746285435,-71.28740504714798,16.104635909993664,13.558289422249253,23.073522596149047,11.650411554126002,2.13030214750928,1.2005161361253989,5.604739004475588,6.45647595652013,2.14,1.74,1.87,1.99,1.11,2.54,5.13,5.62,0.38,0.36,0.12,0.39,5.96,5.4,4.79,5.09
52.25999999999995,39.161270752143956,21.198947486764293,6.055254962205949,-0.4330917961392927,84.26736805984709,60.82945128741566,61.88862451596172,924.1085609480865,47.78960347467019,40.86016667199362,59.329030535681405,36.50104362205179,0.5588184142023602,-0.7621070738833563,7.731376272047503,4.163148006824134,0.79,0.59,0.76,0.98,6.1000000000000005,3.48,3.74,5.2700000000000005,0.05,0.04,5.7,0.0,2.87,3.37,3.24,3.66
52.269999999999946,27.370713528461508,15.791437468934213,1.907158823329236,-0.3622830622166311,78.87965892048352,93.08953079057686,93.72855480601444,1490.147859062975,78.0355189557479,65.35495219313849,69.89165687294417,58.099999744234395,2.3440651613624044,0.9318670353861748,9.068560639608549,5.071577983359046,5.75,5.64,5.86,6.16,5.23,1.8800000000000001,2.1,4.7,5.26,5.3100000000000005,4.84,5.28,0.87,1.48,1.79,2.07
52.279999999999944,8.652005006536804,11.833104777972087,1.6722107044062604,2.0801400299687063,60.67681962615607,49.844578023074426,-1.7417076724207592,346.33704542580045,58.935718040665314,47.242137876513695,35.71974058507646,37.97030265854417,3.3961893569795145,2.3916290480572644,6.478729004372632,1.3946820427942763,4.76,4.6000000000000005,5.07,5.43,4.14,0.17,0.33,3.91,3.97,4.05,3.75,4.04,5.87,0.25,0.6,0.29
52.28999999999994,10.825319944880652,14.881580446703527,7.325319280247149,5.662360722012373,55.25838347576219,36.79486129651383,83.70785282185672,1777.3378154980828,59.027792844277656,47.56957857143359,35.25947304645376,28.165711262501368,3.722795743468121,4.650321641409035,7.170676976682073,1.247088025943177,4.6000000000000005,4.89,5.53,5.53,2.8000000000000003,4.54,4.57,3.15,2.64,2.74,2.64,2.8000000000000003,4.95,5.61,6.11,2.83
52.29999999999994,27.35680749482208,38.78446612778032,21.82555628214426,14.49366769414277,96.32470405141828,23.73482077114384,99.40936208747488,3962.609354258201,58.92261795659712,39.77438315531442,33.416668828336434,25.40498885442819,4.8581634437787775,6.49235609149691,11.423960114845883,5.728037782241679,3.5300000000000002,3.94,4.37,4.59,1.43,1.67,0.92,2.11,1.33,1.5,1.86,1.78,4.17,4.49,5.09,0.42
52.30999999999994,29.451122518643768,47.42751827805553,29.535879027051095,18.721275894451324,42.09295214828677,26.906004489127966,234.47983246301496,2726.369859324719,25.684341816393246,10.848225127138587,30.991274056528095,17.511043166576812,5.558094213278632,4.573382594774477,10.749594298882318,5.763517266847054,2.1,2.62,3.04,3.38,0.39,5.11,4.8500000000000005,0.9500000000000001,0.16,1.3,1.67,1.73,3.0700000000000003,3.2,3.7,4.5200000000000005
52.319999999999936,14.49173247867572,33.970455166703694,21.734694367502822,13.112606541250146,34.95185168702878,7.318273986796172,147.77318208494705,334.93567145386993,14.367788260119841,32.30495740699782,36.967279172245696,30.046607774310246,4.347694710817788,1.6498779297326955,4.302042985078034,1.981159277936125,0.5700000000000001,1.32,1.72,2.17,0.91,2.87,2.92,0.64,1.24,1.41,1.03,1.23,1.75,1.85,2.1,2.16
52.329999999999934,0.7540127723825291,14.784321028555924,7.698371136516113,2.758240349758798,27.423984821462827,55.23772040151739,203.57218138628699,753.5434792693086,20.66243012247927,31.147284520423238,28.050475534998647,26.758856480313856,3.2671765254814935,-1.354646383700978,-0.9267474765439505,1.889958725188586,1.84,0.27,0.58,1.11,6.05,0.67,1.07,0.79,0.23,0.23,0.22,0.23,0.35000000000000003,0.5,0.18,0.04
52.33999999999993,4.949545294950858,6.302458645877024,2.801338158239307,2.33951015418434,56.80191490417432,73.60133307016957,288.48730906188104,2204.286089384797,2.823033155214883,5.626322769758744,11.85912976165388,8.413761983944465,3.248973473582732,0.10873751670014609,0.5671729429002623,4.40322351560275,0.41000000000000003,5.96,0.12,0.3,4.78,4.84,5.55,6.13,5.86,5.5200000000000005,6.0,5.75,5.19,5.49,4.0,4.45
52.34999999999993,1.0941425748174032,6.2974386650387535,6.352774337499578,8.731782640844493,38.966506438908645,42.41601414186362,124.18440247649596,2393.974455477297,13.891827094837067,8.274938061408852,16.98756516325002,7.490184860048244,2.252945555779247,2.3423534412334743,3.0174165681544873,0.3944349923564725,4.9,4.8100000000000005,5.99,5.75,3.77,2.69,3.74,5.69,0.35000000000000003,0.15,5.65,5.94,3.8000000000000003,4.25,2.24,2.67
