frequency,tds_amp_mPFC_pre_limbic_1,tds_amp_mPFC_pre_limbic_2,tds_amp_mPFC_infra_limbic_1,tds_amp_mPFC_infra_limbic_2,tds_amp_Hippocampus_CA1,tds_amp_Hippocampus_MOL_layer,tds_amp_Hippocampus_GD_1,tds_amp_Hippocampus_GD_2,tds_amp_Amygdala_lateral_1,tds_amp_Amygdala_lateral_2,tds_amp_Amygdala_basolateral_1,tds_amp_Amygdala_basolateral_2,tds_amp_Inferior_colliculus_1,tds_amp_Inferior_colliculus_2,tds_amp_Inferior_colliculus_3,tds_amp_Inferior_colliculus_4,tds_phase_mPFC_pre_limbic_1,tds_phase_mPFC_pre_limbic_2,tds_phase_mPFC_infra_limbic_1,tds_phase_mPFC_infra_limbic_2,tds_phase_Hippocampus_CA1,tds_phase_Hippocampus_MOL_layer,tds_phase_Hippocampus_GD_1,tds_phase_Hippocampus_GD_2,tds_phase_Amygdala_lateral_1,tds_phase_Amygdala_lateral_2,tds_phase_Amygdala_basolateral_1,tds_phase_Amygdala_basolateral_2,tds_phase_Inferior_colliculus_1,tds_phase_Inferior_colliculus_2,tds_phase_Inferior_colliculus_3,tds_phase_Inferior_colliculus_4
52.91999999999982,0.38108070001229205,0.44338344518725414,0.341945934652704,0.3326386275723938,0.33795592993670787,0.2992582357874707,0.3824139125395188,0.03275297251436273,0.6498414183803796,0.5870908645435594,0.5603382401471877,0.5001983467489793,0.12374267390260932,0.13736782402652833,0.4136662874840168,0.21366062349423837,3.84,0.78,4.0600000000000005,3.94,0.07,3.61,0.71,4.38,4.09,0.91,4.07,4.08,3.54,6.24,0.02,0.09
52.929999999999815,0.371589552371629,0.46105902081950084,0.3133426101658003,0.357633713944028,0.301140653036287,0.3254831486663502,0.5207050122054122,0.35979767838470605,0.6023676538323092,0.555299283494256,0.5492374991658828,0.48717424963679795,0.1731061414900257,0.21883284180193244,0.4145733191464736,0.24048369569113115,3.02,6.15,3.19,6.22,5.29,2.73,2.92,3.4,0.09,3.2,3.21,0.07,6.0600000000000005,2.7600000000000002,5.93,6.11
52.93999999999981,0.2775625895284691,0.36106637873915937,0.23650607165516618,0.29879461415746433,0.22250725660512077,0.18439850624892687,0.4274332525856325,0.4363693716112254,0.38177862613090985,0.3479247184283499,0.36079782000920196,0.32336594473412833,0.19685058577213607,0.3110319915266021,0.4646191121366342,0.33243512095864886,5.41,2.19,5.57,2.29,4.04,2.05,5.28,5.5,5.58,5.53,2.41,2.39,5.36,5.33,2.29,5.54
52.94999999999981,0.17897889680256163,0.21295244688462656,0.17287757909246307,0.20172158197706372,0.3379698031262512,0.2049593558059311,0.1431939994286198,0.6092533425310982,0.1324661859474336,0.08690414884117827,0.10918296694894651,0.1046851794247514,0.18485112328348097,0.2661750449421708,0.39671319729418936,0.30710928988800656,1.6500000000000001,4.82,1.85,4.78,5.68,5.37,1.71,1.19,1.98,1.75,1.79,1.67,4.66,4.69,4.86,4.83
52.95999999999981,0.16673898530477108,0.2509466055390196,0.18259966010697773,0.16207441252303725,0.5723719172193876,0.5179651207234625,0.32982430896640125,0.9695009295761358,0.20012748546259643,0.08250664889516038,0.0807970990610508,0.03205028796358656,0.15884025818102876,0.1360822824002755,0.2504376449129646,0.1909127988345389,4.21,4.6000000000000005,1.27,4.22,1.55,1.59,4.83,3.3200000000000003,1.95,1.94,5.01,4.93,0.87,4.14,1.19,4.12
52.96999999999981,0.19372887880795903,0.30082445691946286,0.18884692726692956,0.16542776655188549,0.6770417085496769,0.6624442732017465,0.5660188515629188,1.125994429645747,0.23570992196639604,0.12094502562447368,0.12159601448328922,0.06619813422572172,0.15642602139164355,0.08646048688623634,0.17084365453678765,0.11178299811886688,0.25,0.6,3.59,0.35000000000000003,3.8200000000000003,3.95,1.04,5.55,1.21,1.23,1.25,1.19,3.42,0.59,3.87,3.58
52.979999999999805,0.22155617593987617,0.3144234289450019,0.17757313130530356,0.15811038401788013,0.5440071323246101,0.5287409008380186,0.455228845116993,0.8459939685663362,0.1392829742440177,0.041004919427389735,0.05314353405607958,0.01263513522717147,0.18312693978188083,0.09922500742857376,0.13143136768915883,0.17211715629217064,5.58,5.7700000000000005,2.54,5.69,6.1000000000000005,3.09,0.31,4.66,0.43,3.64,3.79,0.51,2.7600000000000002,6.22,3.16,2.99
52.9899999999998,0.22800638317663627,0.3766033490839132,0.20297334322056865,0.1612499140786157,0.21940048414804122,0.2618139135632396,0.029244261833750004,0.2527938276506148,0.07693967088357875,0.03407157179598973,0.0595880371683262,0.02968137578216012,0.20680085885451102,0.08642461929127891,0.11433572606163993,0.2864720606340538,4.64,4.66,1.44,1.51,1.9000000000000001,1.93,5.84,3.58,3.8200000000000003,3.88,0.56,0.6900000000000001,5.17,2.13,5.24,5.34
52.9999999999998,0.1595587975927224,0.38770055369547946,0.20441161448634923,0.13179539687986466,0.3836353998878584,0.40478971345574183,0.31990200594457036,0.3715891643649188,0.18980524261699244,0.1314926061950541,0.15260316219364053,0.10874591024342702,0.2016449166793584,0.0872122918348698,0.1708852547039368,0.3410211478614343,0.63,0.56,0.46,3.7,3.0700000000000003,0.53,0.45,4.98,6.25,3.0500000000000003,6.11,2.97,1.29,1.12,4.22,1.3900000000000001
53.0099999999998,0.02888295414621714,0.2513171765305833,0.10231072727816798,0.002279446664350124,0.634099494200925,0.6042602462617055,0.6661302187563273,0.8537638054875869,0.23788224282282616,0.18378458061233602,0.202864809646882,0.15624934826074127,0.17103357934994642,0.043688386486688185,0.1406082391755472,0.2537548333134726,3.31,2.84,2.7,6.12,5.32,5.95,2.91,0.85,5.3,2.07,5.17,5.13,3.79,3.44,3.41,0.64
